2024-04-06; 16:12:03.544007; b'[0] PING\n'; 2024-04-06; 16:12:03.544007; [0/0] PONG (0);
2024-04-06; 16:12:03.544007; b'[0] PING\n'; 2024-04-06; 16:12:05.206237; KeepAlive;
2024-04-06; 16:12:05.207239; b'[0] PING\n'; 2024-04-06; 16:12:05.207239; [0/0] PONG (1);
2024-04-06; 16:12:05.207239; b'[0] PING\n'; 2024-04-06; 16:12:11.505431; KeepAlive;
2024-04-06; 16:12:11.507431; b'[1] PING\n'; 2024-04-06; 16:12:11.507431; [1/1] PONG (1);
2024-04-06; 16:12:11.507431; b'[1] PING\n'; 2024-04-06; 16:12:11.569435; KeepAlive;
2024-04-06; 16:12:11.570435; b'[1] PING\n'; 2024-04-06; 16:12:11.570435; [1/1] PONG (0);
2024-04-06; 16:12:11.570435; b'[1] PING\n'; 2024-04-06; 16:12:17.012724; KeepAlive;
2024-04-06; 16:12:17.013728; b'[2] PING\n'; 2024-04-06; 16:12:17.013728; [2/2] PONG (0);
2024-04-06; 16:12:17.013728; b'[2] PING\n'; 2024-04-06; 16:12:17.172727; KeepAlive;
2024-04-06; 16:12:17.173726; b'[2] PING\n'; 2024-04-06; 16:12:17.173726; [2/2] PONG (1);
2024-04-06; 16:12:17.173726; b'[2] PING\n'; 2024-04-06; 16:12:22.373992; KeepAlive;
2024-04-06; 16:12:22.374994; b'[3] PING\n'; 2024-04-06; 16:12:22.374994; [3/3] PONG (0);
2024-04-06; 16:12:22.374994; b'[3] PING\n'; 2024-04-06; 16:12:22.882943; KeepAlive;
2024-04-06; 16:12:22.883945; b'[3] PING\n'; 2024-04-06; 16:12:22.883945; [3/3] PONG (1);
2024-04-06; 16:12:22.883945; b'[3] PING\n'; 2024-04-06; проигнорировано; проигнорировано;
2024-04-06; 16:12:22.883945; b'[3] PING\n'; 2024-04-06; 16:12:27.659003; KeepAlive;
2024-04-06; 16:12:27.661007; b'[4] PING\n'; 2024-04-06; 16:12:27.661007; [4/4] PONG (0);
2024-04-06; 16:12:28.871162; b'[4] PING\n'; 2024-04-06; 16:12:27.661007; [4/4] PONG (0);
2024-04-06; 16:12:28.871162; b'[4] PING\n'; 2024-04-06; 16:12:33.086994; KeepAlive;
2024-04-06; 16:12:33.088998; b'[5] PING\n'; 2024-04-06; 16:12:33.088998; [4/5] PONG (0);
2024-04-06; 16:12:33.088998; b'[5] PING\n'; 2024-04-06; 16:12:34.077033; KeepAlive;
2024-04-06; 16:12:34.078033; b'[5] PING\n'; 2024-04-06; 16:12:34.078033; [5/5] PONG (1);
2024-04-06; 16:12:34.078033; b'[5] PING\n'; 2024-04-06; 16:12:38.255867; KeepAlive;
2024-04-06; 16:12:38.256868; b'[6] PING\n'; 2024-04-06; 16:12:38.256868; [5/6] PONG (0);
2024-04-06; 16:12:38.256868; b'[6] PING\n'; 2024-04-06; 16:12:40.061104; KeepAlive;
2024-04-06; 16:12:40.063107; b'[6] PING\n'; 2024-04-06; 16:12:40.063107; [6/6] PONG (1);
2024-04-06; 16:12:40.063107; b'[6] PING\n'; 2024-04-06; 16:12:43.441742; KeepAlive;
2024-04-06; 16:12:43.442742; b'[7] PING\n'; 2024-04-06; 16:12:43.442742; [6/7] PONG (0);
2024-04-06; 16:12:43.442742; b'[7] PING\n'; 2024-04-06; 16:12:45.965350; KeepAlive;
2024-04-06; 16:12:45.967350; b'[7] PING\n'; 2024-04-06; 16:12:45.967350; [7/7] PONG (1);
2024-04-06; 16:12:45.967350; b'[7] PING\n'; 2024-04-06; 16:12:49.356990; KeepAlive;
2024-04-06; 16:12:49.358997; b'[8] PING\n'; 2024-04-06; 16:12:49.358997; [7/8] PONG (0);
2024-04-06; 16:12:49.358997; b'[8] PING\n'; 2024-04-06; 16:12:51.835120; KeepAlive;
2024-04-06; 16:12:51.836121; b'[8] PING\n'; 2024-04-06; 16:12:51.836121; [8/8] PONG (1);
2024-04-06; 16:12:51.836121; b'[8] PING\n'; 2024-04-06; проигнорировано; проигнорировано;
2024-04-06; 16:12:51.836121; b'[8] PING\n'; 2024-04-06; 16:12:54.534481; KeepAlive;
2024-04-06; 16:12:54.536480; b'[9] PING\n'; 2024-04-06; 16:12:54.536480; [8/9] PONG (0);
2024-04-06; 16:12:57.390934; b'[9] PING\n'; 2024-04-06; 16:12:54.536480; [8/9] PONG (0);
2024-04-06; 16:12:57.390934; b'[9] PING\n'; 2024-04-06; 16:13:00.249145; KeepAlive;
2024-04-06; 16:13:00.250147; b'[10] PING\n'; 2024-04-06; 16:13:00.250147; [8/10] PONG (0);
2024-04-06; 16:13:00.250147; b'[10] PING\n'; 2024-04-06; 16:13:03.382543; KeepAlive;
2024-04-06; 16:13:03.384543; b'[10] PING\n'; 2024-04-06; 16:13:03.384543; [10/10] PONG (1);
2024-04-06; 16:13:03.384543; b'[10] PING\n'; 2024-04-06; 16:13:06.188368; KeepAlive;
2024-04-06; 16:13:06.189368; b'[11] PING\n'; 2024-04-06; 16:13:06.189368; [9/11] PONG (0);
2024-04-06; 16:13:06.189368; b'[11] PING\n'; 2024-04-06; 16:13:08.872280; KeepAlive;
2024-04-06; 16:13:08.874259; b'[11] PING\n'; 2024-04-06; 16:13:08.874259; [11/11] PONG (1);
2024-04-06; 16:13:08.874259; b'[11] PING\n'; 2024-04-06; 16:13:11.850736; KeepAlive;
2024-04-06; 16:13:11.852738; b'[12] PING\n'; 2024-04-06; 16:13:11.852738; [10/12] PONG (0);
2024-04-06; 16:13:11.852738; b'[12] PING\n'; 2024-04-06; проигнорировано; проигнорировано;
2024-04-06; 16:13:11.852738; b'[12] PING\n'; 2024-04-06; 16:13:14.801019; KeepAlive;
2024-04-06; 16:13:14.803002; b'[12] PING\n'; 2024-04-06; 16:13:14.803002; [12/12] PONG (1);
2024-04-06; 16:13:16.978809; b'[13] PING\n'; 2024-04-06; 16:13:14.803002; [12/12] PONG (1);
2024-04-06; 16:13:16.978809; b'[13] PING\n'; 2024-04-06; 16:13:20.799612; KeepAlive;
2024-04-06; 16:13:20.801613; b'[13] PING\n'; 2024-04-06; 16:13:20.801613; [12/13] PONG (1);
2024-04-06; 16:13:20.801613; b'[13] PING\n'; 2024-04-06; 16:13:22.704045; KeepAlive;
2024-04-06; 16:13:22.706025; b'[14] PING\n'; 2024-04-06; 16:13:22.706025; [12/14] PONG (0);
2024-04-06; 16:13:22.706025; b'[14] PING\n'; 2024-04-06; 16:13:26.162144; KeepAlive;
2024-04-06; 16:13:26.163145; b'[14] PING\n'; 2024-04-06; 16:13:26.163145; [13/14] PONG (1);
2024-04-06; 16:13:26.163145; b'[14] PING\n'; 2024-04-06; проигнорировано; проигнорировано;
2024-04-06; 16:13:26.163145; b'[14] PING\n'; 2024-04-06; 16:13:27.922598; KeepAlive;
2024-04-06; 16:13:27.924580; b'[15] PING\n'; 2024-04-06; 16:13:27.924580; [13/15] PONG (0);
2024-04-06; 16:13:31.575854; b'[15] PING\n'; 2024-04-06; 16:13:27.924580; [13/15] PONG (0);
2024-04-06; 16:13:31.575854; b'[15] PING\n'; 2024-04-06; 16:13:33.193223; KeepAlive;
2024-04-06; 16:13:33.195223; b'[16] PING\n'; 2024-04-06; 16:13:33.195223; [13/16] PONG (0);
2024-04-06; 16:13:33.195223; b'[16] PING\n'; 2024-04-06; 16:13:37.574296; KeepAlive;
2024-04-06; 16:13:37.576281; b'[16] PING\n'; 2024-04-06; 16:13:37.576281; [15/16] PONG (1);
2024-04-06; 16:13:37.576281; b'[16] PING\n'; 2024-04-06; 16:13:39.041889; KeepAlive;
2024-04-06; 16:13:39.043892; b'[17] PING\n'; 2024-04-06; 16:13:39.043892; [14/17] PONG (0);
2024-04-06; 16:13:39.043892; b'[17] PING\n'; 2024-04-06; 16:13:42.720893; KeepAlive;
2024-04-06; 16:13:42.721894; b'[17] PING\n'; 2024-04-06; 16:13:42.721894; [16/17] PONG (1);
2024-04-06; 16:13:42.721894; b'[17] PING\n'; 2024-04-06; 16:13:44.777301; KeepAlive;
2024-04-06; 16:13:44.779280; b'[18] PING\n'; 2024-04-06; 16:13:44.779280; [15/18] PONG (0);
2024-04-06; 16:13:44.779280; b'[18] PING\n'; 2024-04-06; 16:13:48.236399; KeepAlive;
2024-04-06; 16:13:48.237401; b'[18] PING\n'; 2024-04-06; 16:13:48.237401; [17/18] PONG (1);
2024-04-06; 16:13:48.237401; b'[18] PING\n'; 2024-04-06; 16:13:50.521744; KeepAlive;
2024-04-06; 16:13:50.523745; b'[19] PING\n'; 2024-04-06; 16:13:50.523745; [16/19] PONG (0);
2024-04-06; 16:13:50.523745; b'[19] PING\n'; 2024-04-06; 16:13:54.200818; KeepAlive;
2024-04-06; 16:13:54.202819; b'[19] PING\n'; 2024-04-06; 16:13:54.202819; [18/19] PONG (1);
2024-04-06; 16:13:54.202819; b'[19] PING\n'; 2024-04-06; 16:13:56.479633; KeepAlive;
2024-04-06; 16:13:56.480631; b'[20] PING\n'; 2024-04-06; 16:13:56.480631; [17/20] PONG (0);
2024-04-06; 16:13:56.480631; b'[20] PING\n'; 2024-04-06; проигнорировано; проигнорировано;
2024-04-06; 16:13:56.480631; b'[20] PING\n'; 2024-04-06; 16:14:00.188426; KeepAlive;
